Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,13:01:58,600,3402.8,240858,3,3402.8,4,3403
IF1502,13:01:59,100,3402.2,240893,5,3402.2,60,3402.8
IF1502,13:01:59,600,3402,240909,6,3401.8,2,3402
IF1502,13:02:00,100,3402,240913,8,3401.8,3,3402.2
IF1502,13:02:00,600,3401.8,240916,7,3401.8,2,3402
IF1502,13:02:01,100,3401.8,240925,9,3401.6,2,3401.8
IF1502,13:02:01,600,3401.8,240928,6,3401.8,15,3402
IF1502,13:02:02,100,3401.8,240934,1,3401.8,12,3402
IF1502,13:02:02,600,3402,240940,1,3401.8,9,3402
IF1502,13:02:03,100,3401.6,240949,6,3401.6,2,3401.8
IF1502,13:02:03,600,3401.6,240962,1,3401.6,3,3401.8
IF1502,13:02:04,100,3401.8,240966,10,3401.8,10,3402
IF1502,13:02:04,600,3401.8,240975,1,3401.8,14,3402
IF1502,13:02:05,100,3401.6,240983,28,3401.6,12,3401.8
IF1502,13:02:05,600,3401.8,240999,5,3401.8,4,3402
IF1502,13:02:06,100,3402,241010,1,3402,13,3402.2
IF1502,13:02:06,600,3402,241027,1,3402,9,3402.2
IF1502,13:02:07,100,3402.6,241044,4,3402.4,6,3402.6
IF1502,13:02:07,600,3402.8,241063,10,3402.6,1,3402.8
IF1502,13:02:08,100,3402.6,241068,10,3402.6,3,3403
IF1502,13:02:08,600,3403,241076,9,3403,4,3403.2
IF1502,13:02:09,100,3403.2,241091,2,3403,4,3403.2
IF1502,13:02:09,600,3403.2,241102,4,3403.2,3,3403.4
IF1502,13:02:10,100,3403,241120,2,3403,32,3403.4
IF1502,13:02:10,600,3402.4,241149,7,3402.4,6,3402.6
IF1502,13:02:11,100,3402.2,241161,12,3402.2,1,3402.4
IF1502,13:02:11,600,3402.2,241168,7,3402.2,4,3402.4
IF1502,13:02:12,100,3402.4,241175,5,3402.2,2,3402.4
IF1502,13:02:12,600,3402.4,241179,4,3402.4,14,3402.6
IF1502,13:02:13,100,3402.6,241193,1,3402.6,12,3402.8
IF1502,13:02:13,600,3402.4,241202,5,3402.4,2,3402.6
IF1502,13:02:14,100,3402.4,241209,3,3402.4,10,3402.6
IF1502,13:02:14,600,3402.4,241209,1,3402.4,7,3402.6
IF1502,13:02:15,100,3402.4,241209,4,3402.4,7,3402.6
IF1502,13:02:15,600,3402.6,241223,3,3402.6,4,3403
IF1502,13:02:16,100,3403.4,241237,3,3403.2,2,3403.4
IF1502,13:02:16,600,3403.8,241260,3,3403.6,16,3403.8
IF1502,13:02:17,100,3403.6,241273,1,3403.2,8,3403.4
IF1502,13:02:17,600,3403.6,241284,5,3403,2,3403.4
IF1502,13:02:18,100,3403.6,241290,4,3403,11,3403.6
IF1502,13:02:18,600,3403,241302,6,3402.8,4,3403.2
IF1502,13:02:19,100,3403.2,241303,13,3403,4,3403.2
IF1502,13:02:19,600,3403,241306,13,3403,3,3403.2
IF1502,13:02:20,100,3403,241309,12,3403,9,3403.2
IF1502,13:02:20,600,3403.4,241324,42,3403.2,7,3403.4
IF1502,13:02:21,100,3403,241350,7,3403,6,3403.6
IF1502,13:02:21,600,3403,241356,8,3403,1,3403.4
IF1502,13:02:22,100,3403.8,241364,8,3403.4,10,3403.8
IF1502,13:02:22,600,3404,241373,4,3403.6,6,3404
IF1502,13:02:23,100,3404,241388,1,3404,13,3404.2
IF1502,13:02:23,600,3403.8,241392,7,3403.8,11,3404.2
IF1502,13:02:24,100,3404.2,241395,2,3404,7,3404.2
IF1502,13:02:24,600,3404.2,241399,10,3404,3,3404.2
IF1502,13:02:25,100,3404.2,241403,7,3404.2,7,3404.4
IF1502,13:02:25,600,3404.4,241405,16,3404.2,10,3404.4
IF1502,13:02:26,100,3404.2,241414,10,3404.2,6,3404.4
IF1502,13:02:26,600,3404.4,241422,2,3404.2,6,3404.4
IF1502,13:02:27,100,3404.2,241433,5,3404.2,6,3404.6
IF1502,13:02:27,600,3404,241438,10,3404,4,3404.4
IF1502,13:02:28,100,3404.2,241439,8,3404,7,3404.2
IF1502,13:02:28,600,3404.4,241452,16,3404,3,3404.4
IF1502,13:02:29,100,3404.2,241458,6,3404.2,5,3404.6
IF1502,13:02:29,600,3404.4,241461,6,3404.2,5,3404.4
IF1502,13:02:30,100,3404.2,241468,25,3404,5,3404.4
IF1502,13:02:30,600,3404.4,241469,21,3404,4,3404.4
IF1502,13:02:31,100,3403.8,241485,5,3403.8,1,3404
IF1502,13:02:31,600,3403.4,241506,5,3403.4,6,3403.6
IF1502,13:02:32,100,3403.6,241515,4,3403.8,6,3404
IF1502,13:02:32,600,3403.6,241515,6,3403.8,5,3404
IF1502,13:02:33,100,3403.8,241517,3,3403.8,7,3404
IF1502,13:02:33,600,3403.8,241524,11,3403.6,6,3404
IF1502,13:02:34,100,3403.8,241533,8,3403.4,7,3403.8
IF1502,13:02:34,600,3403.8,241541,6,3403.6,3,3403.8
IF1502,13:02:35,100,3403.6,241547,10,3403.6,3,3403.8
IF1502,13:02:35,600,3403.8,241567,11,3403.2,8,3404
IF1502,13:02:36,100,3403.4,241575,6,3403.4,2,3403.8
IF1502,13:02:36,600,3403.6,241580,9,3403.4,1,3403.6
IF1502,13:02:37,100,3403.8,241600,1,3403.8,2,3404
IF1502,13:02:37,600,3403.6,241605,1,3403.8,9,3404
IF1502,13:02:38,100,3403.6,241618,21,3403.2,2,3403.6
IF1502,13:02:38,600,3404,241623,4,3403.8,9,3404
IF1502,13:02:39,100,3403.8,241625,16,3403.8,5,3404
IF1502,13:02:39,600,3404,241630,2,3404,7,3404.2
IF1502,13:02:40,100,3404.2,241639,7,3404.2,6,3404.4
IF1502,13:02:40,600,3404.4,241660,4,3404.4,8,3404.6
IF1502,13:02:41,100,3404.4,241661,3,3404.4,8,3404.6
IF1502,13:02:41,600,3404.4,241674,3,3404,4,3404.4
IF1502,13:02:42,100,3404.4,241675,4,3404.2,12,3404.6
IF1502,13:02:42,600,3404.6,241678,5,3404.2,1,3404.4
IF1502,13:02:43,100,3404.6,241688,16,3404.2,2,3404.6
IF1502,13:02:43,600,3404.4,241692,6,3404.4,7,3404.6
IF1502,13:02:44,100,3404.4,241703,8,3404.2,7,3404.6
IF1502,13:02:44,600,3404.6,241706,6,3404.2,5,3404.6
IF1502,13:02:45,100,3404.6,241718,3,3404.6,9,3404.8
IF1502,13:02:45,600,3404.8,241722,3,3404.6,3,3404.8
IF1502,13:02:46,100,3405.2,241745,1,3405.2,9,3405.4
IF1502,13:02:46,600,3405.2,241758,1,3405,3,3405.4
IF1502,13:02:47,100,3404.8,241763,7,3404.8,9,3405.2
IF1502,13:02:47,600,3404.8,241775,7,3404.6,1,3404.8
IF1502,13:02:48,100,3404.8,241777,16,3404.6,12,3405
IF1502,13:02:48,600,3404.8,241786,16,3404.6,4,3404.8
IF1502,13:02:49,100,3404.6,241792,1,3404.6,4,3404.8
IF1502,13:02:49,600,3404.6,241798,2,3404.6,3,3404.8
IF1502,13:02:50,100,3405,241808,1,3404.8,13,3405
IF1502,13:02:50,600,3404.8,241809,17,3404.6,9,3405
IF1502,13:02:51,100,3404.8,241810,15,3404.6,7,3405
IF1502,13:02:51,600,3405,241818,1,3405,7,3405.2
IF1502,13:02:52,100,3405.2,241825,13,3405,10,3405.4
IF1502,13:02:52,600,3405,241827,13,3405,6,3405.4
IF1502,13:02:53,100,3405.2,241834,3,3405,9,3405.2
IF1502,13:02:53,600,3405.2,241834,5,3405,4,3405.2
IF1502,13:02:54,100,3405.4,241841,5,3405,9,3405.4
IF1502,13:02:54,600,3405,241855,3,3405,7,3405.4
IF1502,13:02:55,100,3404.8,241866,12,3404.6,8,3405
IF1502,13:02:55,600,3404.6,241878,1,3404.6,7,3404.8
IF1502,13:02:56,100,3404.6,241893,3,3404.4,16,3404.6
IF1502,13:02:56,600,3404.4,241898,14,3404.2,2,3404.4
IF1502,13:02:57,100,3404.2,241903,5,3404.2,2,3404.4
